"","Week","Stage","mean","lci","uci"
"2","Apr 08 21","copepodid",0,0,0
"3","Apr 15 21","copepodid",0,0,0
"5","Apr 29 21","copepodid",0,0,0
"7","May 13 21","copepodid",0,0,0
"12","Apr 08 21","chalimus",0,0,0
"13","Apr 15 21","chalimus",0,0,0
"15","Apr 29 21","chalimus",0,0,0
"17","May 13 21","chalimus",0,0,0
"22","Apr 08 21","motile",0,0,0
"23","Apr 15 21","motile",0,0,0
"25","Apr 29 21","motile",0,0,0
"27","May 13 21","motile",0,0,0
"32","Apr 08 21","total",0,0,0
"33","Apr 15 21","total",0,0,0
"35","Apr 29 21","total",0,0,0
"37","May 13 21","total",0,0,0
